Иностранное ПО,Российский аналог,Описание,Категория,Ссылка для скачивания
Salesforce Service Cloud,Bitrix24,"Многофункциональная платформа для управления бизнес-процессами, включающая CRM, задачи, коммуникации и инструменты продуктивности.",Управление бизнесом,https://www.bitrix24.ru/
Salesforce Service Cloud,Naumen CRM,"Система управления взаимоотношениями с клиентами, часто интегрированная с решением для контакт-центра.",CRM,https://www.naumen.ru/
SAP Analytics Cloud,RuData BI Cloud,Облачная версия платформы бизнес-аналитики RuData.,Аналитика и BI,-
SAP Analytics Cloud,Visiology Cloud,Облачная версия платформы Visiology для бизнес-аналитики.,Аналитика и BI,https://visiology.ru/
SAP Ariba,B2B-Center,"Электронная торговая площадка для организации закупочных и сбытовых процедур (тендеры, аукционы, запросы котировок).",Электронная коммерция и платежи,https://b2b-center.ru/
SAP Ariba,ТендерПро,Система для поиска и участия в государственных и коммерческих закупках (тендерах).,Управление бизнесом,https://tender.pro/
SAP BPC,1С:Бюджет,"Автоматизированная информационная система планирования, санкционирования, учёта, контроля и анализа исполнения бюджета",Бухгалтерия и финансы,https://1c.ru/
SAP BPC,Галактика Планирование,"Модуль для бюджетного планирования, финансового моделирования и консолидации.",Управление бизнесом,https://galaktika.ru/
SAP BusinessObjects,Polymatica,"Платформа для комплексной аналитики больших данных, прогнозного моделирования и бизнес-аналитики.",Аналитика и BI,https://polymatica.com/
SAP BusinessObjects,RuData Analytics,"Решение для аналитики данных, построения отчетов и дашбордов.",Аналитика и BI,-
SAP ERP,1С:ERP,Комплексное программное решение от компании «1С» для автоматизации бизнес-процессов и управления деятельностью предприятий. Расшифровывается как «планирование ресурсов предприятия».,ERP,https://1c.ru/
SAP ERP,Галактика ERP,Комплексная система управления ресурсами предприятия (ERP) для крупного и среднего бизнеса.,ERP,https://galaktika.ru/
SAP EWM,1С:WMS Логистика,"Система для управления складом и складской логистикой, разработанная на базе платформы «1С:Предприятие 8».",Логистика и WMS,https://1c.ru/
SAP EWM,Solvo.WMS,Система управления транспортом (TMS) для автоматизации логистических процессов и планирования перевозок.,Логистика и WMS,-
SAP Financials,1С:ERP,Комплексное программное решение от компании «1С» для автоматизации бизнес-процессов и управления деятельностью предприятий. Расшифровывается как «планирование ресурсов предприятия».,ERP,https://1c.ru/
SAP Financials,Парус Финансы,"Модуль управления финансами, бюджетированием и учетной политикой в системе ""Парус"".",Бухгалтерия и финансы,https://parus.ru/
SAP for Utilities,Галактика Энергия,Отраслевое решение для предприятий энергетического сектора.,Управление бизнесом,https://galaktika.ru/
SAP for Utilities,Парус Энергетика,"Отраслевое решение для предприятий энергетики на платформе ""Парус"".",Управление бизнесом,https://parus.ru/
SAP HR,1С:Зарплата и управление персоналом,"Программное решение, разработанное российской компанией «1С» для автоматизации кадрового учёта, управления персоналом и расчёта заработной платы.",Управление персоналом (HR),https://1c.ru/
SAP Learning Hub,Mirapolis Education,Платформа для организации корпоративного обучения и развития персонала.,Образование и LMS,https://mirapolis.ru/
SAP Learning Hub,Stepik PRO,"Премиум-версия платформы Stepik с расширенной аналитикой, поддержкой и функциями для бизнеса и ВУЗов.",Образование и LMS,https://stepik.org/
SAP Transportation Management,1С:Транспортная логистика,"Отраслевое решение на платформе ""1С:Предприятие 8"" для автоматизации планирования, исполнения и контроля транспортных перевозок.",Логистика и WMS,https://1c.ru/
SAP Transportation Management,АСУ-Транспорт,Автоматизированная система управления транспортными перевозками и логистикой.,Транспорт и телематика,-
SAS,Polymatica,"Платформа для комплексной аналитики больших данных, прогнозного моделирования и бизнес-аналитики.",Аналитика и BI,https://polymatica.com/
SAS,RuData BI,Платформа бизнес-аналитики для визуализации данных и поддержки принятия решений.,Аналитика и BI,-
SAS Enterprise Miner,Polymatica,"Платформа для комплексной аналитики больших данных, прогнозного моделирования и бизнес-аналитики.",Аналитика и BI,https://polymatica.com/
SAS Enterprise Miner,RuData AI,Инструменты искусственного интеллекта и машинного обучения в рамках платформы RuData.,Аналитика и BI,-
SAS Grid Manager,Polymatica Grid,Технология для распределенных вычислений и обработки данных на кластерных системах.,Аналитика и BI,https://polymatica.com/
SAS Grid Manager,RuData BI,Платформа бизнес-аналитики для визуализации данных и поддержки принятия решений.,Аналитика и BI,-
SAS Risk Management,Polymatica Risk,"Модуль для анализа и управления рисками в различных областях (финансовые, операционные).",Аналитика и BI,https://polymatica.com/
SAS Risk Management,RuData Risk,"Базовая платформа для работы с данными, объединяющая различные модули RuData.",Аналитика и BI,-
Schneider EcoStruxure,MasterSCADA,"Российская SCADA-система для сбора данных, мониторинга и диспетчеризации технологических процессов в реальном времени.",Управление бизнесом,https://masterscada.ru/
Schneider EcoStruxure,Trace Mode,Универсальная SCADA-система для сбора данных и диспетчерского управления технологическими процессами.,Управление бизнесом,https://tracenode.com/
Schneider Power Monitoring Expert,Энергософт,"Программное обеспечение для проектирования, расчета и анализа систем электроснабжения.",Управление бизнесом,-
Schneider Power Monitoring Expert,Энергоучёт,Система для автоматизации коммерческого и технического учета электроэнергии.,Управление бизнесом,-
Scopus,eLIBRARY,"Крупнейшая российская научная электронная библиотека, предоставляющая доступ к статьям, диссертациям и монографиям.",Научные исследования и данные,https://elibrary.ru/
Scopus,РИНЦ,Российский индекс научного цитирования - база данных научных публикаций и оценка цитируемости ученых и организаций.,Научные исследования и данные,https://elibrary.ru/
ServiceNow,DeskWork,"Система электронного документооборота (СЭД) для управления потоками документов, согласования и архивирования.",Управление бизнесом,-
ServiceNow,Naumen ITSM,Платформа для управления ИТ-услугами (ITSM) в соответствии с лучшими практиками ITIL.,Управление бизнесом,https://www.naumen.ru/
Siemens MindSphere,Ростелеком IIoT,Платформа промышленного интернета вещей (Industrial IoT) для мониторинга и управления производственными активами.,Облачные платформы и инфраструктура,https://rt.ru/
Siemens MindSphere,СберИндустрия,Платформа для цифровизации промышленных предприятий от Сбера.,Управление бизнесом,https://sberbank.ru/
Siemens NX,T-FLEX CAD,Базовая параметрическая система САПР для 2D-черчения и 3D-моделирования.,CAD/CAM/CAE/PLM,https://tflex.com/
Siemens NX,Компас-3D,Российская система трехмерного твердотельного параметрического моделирования (САПР).,CAD/CAM/CAE/PLM,https://ascon.ru/
Siemens Opcenter,T-FLEX MES,Система управления производственными операциями (MES).,CAD/CAM/CAE/PLM,https://tflex.com/
Siemens Opcenter,Галактика MES,"Система управления производственными операциями (MES) в рамках экосистемы ""Галактика"".",Управление бизнесом,https://galaktika.ru/
Siemens PCS 7,MasterSCADA,"Российская SCADA-система для сбора данных, мониторинга и диспетчеризации технологических процессов в реальном времени.",Управление бизнесом,https://masterscada.ru/
Siemens PCS 7,Квинт,"Система для автоматизации аптек и фармацевтических предприятий, управления товарооборотом и соблюдения регламентов.",Управление бизнесом,-
Siemens Simatic,MasterSCADA,"Российская SCADA-система для сбора данных, мониторинга и диспетчеризации технологических процессов в реальном времени.",Управление бизнесом,https://masterscada.ru/
Siemens Simatic,Trace Mode,Универсальная SCADA-система для сбора данных и диспетчерского управления технологическими процессами.,Управление бизнесом,https://tracenode.com/
Siemens Simcenter,Fidesys,Платформа для инженерного анализа (CAE) методом конечных элементов для прочностных и мультифизических расчетов.,CAD/CAM/CAE/PLM,https://fidesys.com/
Siemens Simcenter,ЛОГОС Simulation,Базовый модуль для проведения имитационного моделирования и виртуальных испытаний.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
Siemens Syngo,МИС МедАрхив,"Медицинская информационная система, ориентированная на ведение электронного архива.",Здравоохранение и медицина,-
Siemens Syngo,РАДАР-М,"Система для мониторинга и анализа СМИ и социальных сетей, упоминаний брендов и персон.",Безопасность,-
Siemens Teamcenter,T-FLEX DOCs,Система управления инженерными данными и документацией (PDM).,CAD/CAM/CAE/PLM,https://tflex.com/
Siemens Teamcenter,ЛОЦМАН:PLM,"Полное название PLM-системы ""ЛОЦМАН"" для управления жизненным циклом изделий.",CAD/CAM/CAE/PLM,https://lotzman.ru/
Simpack,ЛОГОС Dynamics,Модуль для анализа динамики и прочности конструкций в ЛОГОС.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
Simulink Aerospace Blockset,ЛОГОС Dynamics,Модуль для анализа динамики и прочности конструкций в ЛОГОС.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
Simulink Real-Time,ЛОГОС RealTime,"Модуль для проведения расчетов в реальном времени, часто для аппаратно-программных комплексов.",CAD/CAM/CAE/PLM,https://logos-engineering.ru/
Sketch,Akira,"Программное обеспечение для управления проектами и задачами, часто с фокусом на визуальную организацию (например, канбан-доски).",Средства разработки,-
Slack,Dialog,Платформа для создания чат-ботов и систем искусственного интеллекта для автоматизации коммуникаций с клиентами.,Коммуникации и коллаборация,-
Slack,Mattermost,"Платформа для безопасных корпоративных коммуникаций с обменом сообщениями и файлами, альтернатива Slack.",Коммуникации и коллаборация,https://mattermost.com/
Slack Connect,Dialog,Платформа для создания чат-ботов и систем искусственного интеллекта для автоматизации коммуникаций с клиентами.,Коммуникации и коллаборация,-
Slack Connect,Mattermost,"Платформа для безопасных корпоративных коммуникаций с обменом сообщениями и файлами, альтернатива Slack.",Коммуникации и коллаборация,https://mattermost.com/
Solid Edge,nanoCAD Механика,"Модуль для машиностроительного проектирования, включающий библиотеки стандартных изделий и средств автоматизации.",CAD/CAM/CAE/PLM,https://nanocad.ru/
Solid Edge,T-FLEX CAD,Базовая параметрическая система САПР для 2D-черчения и 3D-моделирования.,CAD/CAM/CAE/PLM,https://tflex.com/
SolidCAM,ADEM,Система автоматизированного проектирования (CAD/CAM/CAPP) для технологической подготовки машиностроительного производства.,CAD/CAM/CAE/PLM,-
SolidCAM,SprutCAM,Программный комплекс для автоматизированного программирования станков с ЧПУ (CAD/CAM система).,CAD/CAM/CAE/PLM,https://sprutcam.com/
SolidWorks,T-FLEX CAD,Базовая параметрическая система САПР для 2D-черчения и 3D-моделирования.,CAD/CAM/CAE/PLM,https://tflex.com/
SolidWorks,Компас-3D,Российская система трехмерного твердотельного параметрического моделирования (САПР).,CAD/CAM/CAE/PLM,https://ascon.ru/
SoundCloud,Beatify,"Программа для управления и каталогизации музыкальных коллекций, часто с функциями анализа аудиофайлов и создания плейлистов.","Другое (офисные пакеты, утилиты и пр.)",-
SoundCloud,Яндекс.Музыка,Стриминговый сервис для прослушивания музыки и подкастов.,"Другое (офисные пакеты, утилиты и пр.)",https://yandex.ru/
Splunk,RuSIEM,Российская система управления событиями информационной безопасности (SIEM).,Безопасность,-
Splunk,Solar Dozor SIEM,"Система управления событиями информационной безопасности (SIEM) от ""Ростелеком-Солар"".",Безопасность,https://rt-solar.ru/
Spotify,Яндекс.Музыка,Стриминговый сервис для прослушивания музыки и подкастов.,"Другое (офисные пакеты, утилиты и пр.)",https://yandex.ru/
SPSS,Deductor Studio,"Комплексное решение для аналитиков данных, объединяющее средства ETL, визуализации и моделирования.",Аналитика и BI,-
SPSS,STATISTICA (рус. сборка),Российская версия или сборка пакета для статистического анализа и интеллектуального анализа данных.,Аналитика и BI,https://statsoft.ru/
Square,CloudPayments POS,"Программное обеспечение для терминалов и mPOS-систем, позволяющее принимать оплату картами и другими безналичными способами.",Электронная коммерция и платежи,https://cloudpayments.ru/
Square,Тинькофф Касса,Сервис для приема онлайн-платежей для интернет-магазинов и бизнеса от Тинькофф Банка.,Электронная коммерция и платежи,https://www.tinkoff.ru/
STAAD.Pro,SCAD,"Фреймворк для глубокого обучения на основе PyTorch, оптимизированный и доработанный Сбером.",CAD/CAM/CAE/PLM,https://scadsoft.com/
STAAD.Pro,ЛИРА-САПР,Программный комплекс для расчета и проектирования строительных конструкций.,CAD/CAM/CAE/PLM,https://liraland.ru/
STATA,Deductor Analytics,"Платформа для анализа больших данных, построения моделей машинного обучения и бизнес-аналитики.",Аналитика и BI,-
STATA,Polymatica,"Платформа для комплексной аналитики больших данных, прогнозного моделирования и бизнес-аналитики.",Аналитика и BI,https://polymatica.com/
Steam,4game,"Платформа для распространения и управления игровыми проектами, включая социальные и мобильные игры.","Другое (офисные пакеты, утилиты и пр.)",https://4game.com/
Steam,VK Play,"Игровая платформа и магазин от VK, а также стриминговый сервис для геймеров.","Другое (офисные пакеты, утилиты и пр.)",https://vkplay.ru/
Stripe,CloudPayments,"Платформа для приема онлайн-платежей, предоставляющая платежные формы, API и инструменты для борьбы с мошенничеством.",Электронная коммерция и платежи,https://cloudpayments.ru/
Stripe,ЮKassa,Платежный агрегатор от ЮMoney (ранее Яндекс.Касса) для приема онлайн-платежей.,Электронная коммерция и платежи,https://yookassa.ru/
SurveyMonkey,Survio RU,Российская версия или локализация платформы для проведения онлайн-опросов и исследований.,"Другое (офисные пакеты, утилиты и пр.)",-
SurveyMonkey,Яндекс Формы,"Сервис для создания онлайн-форм, опросов и тестов.","Другое (офисные пакеты, утилиты и пр.)",https://yandex.ru/
SWIFT,SWIFT-RU,"Российская ассоциация или сервисы, связанные с международной системой межбанковских расчетов SWIFT.",Управление бизнесом,-
SWIFT,СПФС (Банк России),Система передачи финансовых сообщений Банка России (аналог SWIFT для внутренних расчетов).,Управление бизнесом,https://cbr.ru/
Symantec DLP,InfoWatch Traffic Monitor,Система мониторинга и анализа сетевого трафика для выявления угроз и инцидентов информационной безопасности.,Безопасность,https://www.infowatch.com/
Symantec Endpoint Protection,Kaspersky Endpoint Security,"Комплексная защита для конечных точек от широкого спектра угроз, включая вирусы, ransomware и фишинг.",Безопасность,https://www.kaspersky.ru/
Symantec Endpoint Protection,Security Code,Российская версия или сборка системы визуальной вёрстки и дизайна с открытым исходным кодом.,Безопасность,https://securitycode.ru/
Tableau,Polymatica,"Платформа для комплексной аналитики больших данных, прогнозного моделирования и бизнес-аналитики.",Аналитика и BI,https://polymatica.com/
Tableau,RuData BI,Платформа бизнес-аналитики для визуализации данных и поддержки принятия решений.,Аналитика и BI,-
Tableau Prep,Polymatica DataStage,"Инструмент для извлечения, преобразования и загрузки данных (ETL) в рамках платформы Polymatica.",Аналитика и BI,https://polymatica.com/
Tableau Prep,Visiology Data Prep,"Инструмент для подготовки, очистки и трансформации данных перед анализом.",Аналитика и BI,https://visiology.ru/
Tableau Server,Polymatica BI Server,Серверный компонент для развертывания и управления системой бизнес-аналитики Polymatica в организации.,Аналитика и BI,https://polymatica.com/
Tableau Server,Visiology,Платформа для бизнес-аналитики и визуализации данных.,Аналитика и BI,https://visiology.ru/
Teamcenter,T-FLEX DOCs,Система управления инженерными данными и документацией (PDM).,CAD/CAM/CAE/PLM,https://tflex.com/
Teamcenter,ЛОЦМАН:PLM,"Полное название PLM-системы ""ЛОЦМАН"" для управления жизненным циклом изделий.",CAD/CAM/CAE/PLM,https://lotzman.ru/
TeamViewer,Remote Utilities,Программа для удаленного доступа и управления компьютерами через интернет или локальную сеть.,Управление бизнесом,https://remoteutilities.com/
TeamViewer,RustDesk,Российская система управления событиями информационной безопасности (SIEM).,Управление бизнесом,https://rustdesk.com/
Tekla Structures,SCAD Office,"Интегрированная среда для проектирования и расчета конструкций, включающая пре- и пострепроцессор.",CAD/CAM/CAE/PLM,https://scadsoft.com/
Tekla Structures,ЛИРА-САПР,Программный комплекс для расчета и проектирования строительных конструкций.,CAD/CAM/CAE/PLM,https://liraland.ru/
Temenos T24,Diasoft Core Banking,Базовый комплекс для автоматизации основных банковских операций и процессов (ядерная банковская система).,Управление бизнесом,https://diasoft.com/
Temenos T24,ЦФТ-Банк,Автоматизированная банковская система (АБС) для комплексной автоматизации деятельности кредитных организаций.,Управление бизнесом,https://cft.ru/
TensorFlow,OpenNetLab RU,"Российский сегмент или проект в рамках OpenNetLab, ориентированный на локальные исследования и задачи.",Средства разработки,-
TensorFlow,Sber AI SDK,Облачная платформа от Сбера для работы с искусственным интеллектом и машинным обучением.,Средства разработки,https://sbercloud.ru/
Terraform,Virtuozzo Orchestrator,Инструмент для оркестрации и управления виртуальной инфраструктурой на базе Virtuozzo.,Виртуализация,https://virtuozzo.com/
TikTok,VK Clips,Сервис для создания и просмотра коротких видео в рамках социальной сети VK.,"Другое (офисные пакеты, утилиты и пр.)",https://vk.com/
TikTok,Yappy,"Сервис для приема платежей по QR-коду от Сбербанка, позволяющий малым предпринимателям получать оплату.","Другое (офисные пакеты, утилиты и пр.)",https://yappy.media/
TradingView,Finam Charts,"Сервис для построения финансовых графиков, технического анализа и отслеживания котировок на биржах.",Аналитика и BI,https://www.finam.ru/
TradingView,InvestCab,"Платформа для анализа финансовых рынков, предоставляющая инструменты для инвесторов и трейдеров.",Аналитика и BI,-
Trello,Bitrix24,"Многофункциональная платформа для управления бизнес-процессами, включающая CRM, задачи, коммуникации и инструменты продуктивности.",Управление бизнесом,https://www.bitrix24.ru/
Trello,PlanFix,"Универсальная платформа для автоматизации бизнеса, объединяющая управление задачами, процессами, CRM и документооборотом.",Управление бизнесом,https://planfix.ru/
Trello Premium,Megaplan,"CRM-система и платформа для управления бизнес-процессами, проектами, задачами и клиентами.",Управление бизнесом,https://megaplan.ru/
Trello Premium,PlanFix,"Универсальная платформа для автоматизации бизнеса, объединяющая управление задачами, процессами, CRM и документооборотом.",Управление бизнесом,https://planfix.ru/
Turnitin,Антиплагиат.ру,Система для проверки учебных и научных работ на наличие заимствований и плагиата.,Образование и LMS,https://антиплагиат.ру/
Twilio,Mango Office API,Программный интерфейс для интеграции сервисов Mango Office со сторонними приложениями и CRM-системами.,Коммуникации и коллаборация,https://www.mango-office.ru/
Twilio,Voximplant,"Платформа для создания голосовых и видео-приложений, колл-центров и коммуникационных сервисов.",Коммуникации и коллаборация,https://voximplant.com/
Twitch,VK Play Live,Сервис для прямой трансляции игрового процесса (стриминга) в рамках VK Play.,"Другое (офисные пакеты, утилиты и пр.)",https://vkplay.ru/
Twitch,WASD.TV,Платформа для игровых стримов и киберспортивных трансляций.,"Другое (офисные пакеты, утилиты и пр.)",-
Uber Freight,RuCargo,Цифровая платформа для организации и управления грузоперевозками и логистическими операциями.,Логистика и WMS,-
Uber Freight,TransInfo Fleet,"Решение для управления автопарком, контроля расхода топлива и мониторинга транспортных средств.",Транспорт и телематика,-
Ubuntu,ALT Linux,"Российский дистрибутив операционной системы Linux, разработанный для широкого спектра задач, от рабочих станций до серверов.",Операционные системы,https://www.altlinux.org/
Ubuntu,ROSA Linux,Семейство российских дистрибутивов операционной системы Linux для широкого применения.,Операционные системы,https://rosalab.ru/
Udemy,GeekBrains,"Образовательная онлайн-платформа, предлагающая курсы по программированию, дизайну, маркетингу и другим IT-специальностям.",Образование и LMS,https://gb.ru/
Udemy,Stepik,"Образовательная платформа и конструктор для создания и прохождения онлайн-курсов, часто по программированию и точным наукам.",Образование и LMS,https://stepik.org/
Unity,GameGuru (RU порт),"Российская локализация или порт конструктора 3D-игр, предназначенного для начинающих разработчиков.",Средства разработки,https://www.game-guru.com/
Unity,Unigine,"Платформа для создания 3D-симуляций, визуализаций и игр с собственным движком.",Средства разработки,https://unigine.com/
Unity,Yadro Game SDK,"Инструментарий для разработки игр, совместимый с решениями YADRO.",Средства разработки,https://yadro.com/
Unreal Engine,CryEngine (RU лицензия),Российская лицензия на использование игрового движка CryEngine для разработки высокобюджетных игр и интерактивных приложений.,Средства разработки,https://www.cryengine.com/
Unreal Engine,Unigine,"Платформа для создания 3D-симуляций, визуализаций и игр с собственным движком.",Средства разработки,https://unigine.com/
Veeam Backup,Р7-Резерв,Сервис резервного копирования и восстановления данных от компании Р7.,Облачные платформы и инфраструктура,https://r7-office.ru/
Veeam Backup,Рустех Backup,"Сервис резервного копирования и восстановления данных от компании ""Рустех"".",Облачные платформы и инфраструктура,-
Verisk,FinSight,"Решение для бизнес-аналитики и анализа финансовых данных, построения отчетов и дашбордов.",Аналитика и BI,-
Verisk,Контур.Риск,Сервис для проверки контрагентов и оценки рисков бизнеса.,Аналитика и BI,https://kontur.ru/
Vimeo,RuTube Pro,Российский видеохостинг и платформа для размещения и просмотра пользовательских видео.,"Другое (офисные пакеты, утилиты и пр.)",https://rutube.ru/
Vimeo,VK Видео,"Сервис для размещения, хостинга и просмотра видео внутри социальной сети VK.","Другое (офисные пакеты, утилиты и пр.)",https://vk.com/
Visual Studio,CLion (рос. сборка),Российская версия или сборка кроссплатформенной IDE для разработки на языках C и C++ от JetBrains.,Средства разработки,https://www.jetbrains.com/clion/
Visual Studio,Code::Blocks,"Свободная кроссплатформенная среда разработки (IDE), ориентированная на языки C, C++ и Fortran.",Средства разработки,http://www.codeblocks.org/
Visual Studio,Кедр IDE,"Российская среда разработки (IDE) для языков программирования, возможно, с фокусом на образовательные цели.",Средства разработки,-
VMware ESXi,Astra KVM,"Программное обеспечение для виртуализации на базе KVM, обеспечивающее создание и управление виртуальными машинами.",Виртуализация,https://astralinux.ru/
VMware ESXi,Virtuozzo,"Платформа для виртуализации и управления контейнерами (OpenVZ, KVM) и инфраструктурой.",Виртуализация,https://virtuozzo.com/
VMware vSphere,Astra KVM,"Программное обеспечение для виртуализации на базе KVM, обеспечивающее создание и управление виртуальными машинами.",Виртуализация,https://astralinux.ru/
VMware vSphere,Virtuozzo,"Платформа для виртуализации и управления контейнерами (OpenVZ, KVM) и инфраструктурой.",Виртуализация,https://virtuozzo.com/
VMware vSphere,Рустех Hypervisor,"Программное обеспечение для виртуализации от ""Рустех"".",Виртуализация,-
Web of Science,CyberLeninka,"Научная электронная библиотека с открытым доступом, предоставляющая статьи российских и зарубежных научных журналов.",Научные исследования и данные,https://cyberleninka.ru/
Web of Science,РИНЦ,Российский индекс научного цитирования - база данных научных публикаций и оценка цитируемости ученых и организаций.,Научные исследования и данные,https://elibrary.ru/
Whisper,Silero Speech,Модели и библиотеки для распознавания и синтеза русской речи от сообщества Silero.,Искусственный интеллект (AI),https://silero.ai/
Whisper,Яндекс SpeechKit,Технология распознавания и синтеза речи от Яндекса.,Искусственный интеллект (AI),https://yandex.ru/
Windchill,T-FLEX DOCs,Система управления инженерными данными и документацией (PDM).,CAD/CAM/CAE/PLM,https://tflex.com/
Windchill,ЛОЦМАН,Система управления инженерными данными и процессами (PLM).,CAD/CAM/CAE/PLM,https://lotzman.ru/
Windows Server,Astra Linux SE,"Специальная редакция Astra Linux с усиленными мерами безопасности, предназначенная для работы с конфиденциальной информацией и гостайной.",Операционные системы,https://astralinux.ru/
Windows Server,РЕД ОС Сервер,Серверная редакция операционной системы РЕД ОС.,Операционные системы,https://redos.ru/
Wonderware InTouch,MasterSCADA,"Российская SCADA-система для сбора данных, мониторинга и диспетчеризации технологических процессов в реальном времени.",Управление бизнесом,https://masterscada.ru/
Wonderware InTouch,Trace Mode,Универсальная SCADA-система для сбора данных и диспетчерского управления технологическими процессами.,Управление бизнесом,https://tracenode.com/
Workday,1С:HR,"Конфигурация системы «1С», которая автоматизирует процессы кадрового планирования, подбора персонала, оценки, обучения, мотивации, кадрового учёта и заработной платы.",Управление персоналом (HR),https://1c.ru/
Workday,Bitrix24 HR,"Модуль для автоматизации кадровых процессов: отпуска, найм, кандидаты, онбординг и оценка сотрудников.",Управление персоналом (HR),https://www.bitrix24.ru/
WorldPay,PayKeeper,Система приема и учета онлайн-платежей для сайтов и интернет-магазинов.,Электронная коммерция и платежи,https://paykeeper.ru/
WorldPay,ЮKassa,Платежный агрегатор от ЮMoney (ранее Яндекс.Касса) для приема онлайн-платежей.,Электронная коммерция и платежи,https://yookassa.ru/
X (Twitter),TenChat,Платформа для корпоративных коммуникаций и социальной сети для сотрудников внутри компании.,Коммуникации и коллаборация,https://tenchat.ru/
X (Twitter),VK,Крупнейшая российская социальная сеть и экосистема приложений (ранее Mail.ru Group).,"Другое (офисные пакеты, утилиты и пр.)",https://vk.com/
Xero,Контур.Бухгалтерия,"Онлайн-сервис для ведения бухгалтерского и налогового учета, сдачи отчетности для малого бизнеса и ИП.",Бухгалтерия и финансы,https://kontur.ru/
Xero,МоёДело,"Онлайн-сервис для ведения бухгалтерии, расчета налогов и отчетности для малого бизнеса и ИП.",Бухгалтерия и финансы,https://moedelo.org/
YouTube,RuTube,Система для отслеживания посылок и почтовых отправлений (трекинг).,"Другое (офисные пакеты, утилиты и пр.)",https://rutube.ru/
YouTube,VK Видео,"Сервис для размещения, хостинга и просмотра видео внутри социальной сети VK.","Другое (офисные пакеты, утилиты и пр.)",https://vk.com/
Zabbix,Naumen Network Manager,Решение для мониторинга и управления сетевой инфраструктурой предприятия.,Управление бизнесом,https://www.naumen.ru/
Zendesk,Naumen Service Desk,"Система регистрации и управления инцидентами, запросами пользователей и другими обращениями в ИТ-службу.",Управление бизнесом,https://www.naumen.ru/
Zendesk,OKdesk,Облачная система управления услугами (Service Desk) и ИТ-активами для малого и среднего бизнеса.,Управление бизнесом,https://okdesk.ru/
Zendesk Talk,Naumen Contact Center,"Платформа для построения корпоративного контакт-центра, управляющая всеми каналами связи с клиентами.",Коммуникации и коллаборация,https://www.naumen.ru/
Zendesk Talk,OKtell,"Платформа для организации колл-центров и многоканальных коммуникаций с клиентами (телефония, чаты, email).",Коммуникации и коллаборация,https://oktell.ru/
Zoom,TrueConf,Программное обеспечение для организации видеоконференцсвязи и онлайн-встреч.,Коммуникации и коллаборация,https://trueconf.ru/
Zoom,VideoMost,"Платформа для корпоративных видео-коммуникаций, видеоконференций и совместной работы.",Коммуникации и коллаборация,https://videomost.com/
Zoom,Яндекс.Телемост,Сервис для проведения видеоконференций и онлайн-встреч от Яндекса.,Коммуникации и коллаборация,https://yandex.ru/
Zoom Education,TrueConf Education,Решение для дистанционного обучения и проведения онлайн-уроков и вебинаров.,Образование и LMS,https://trueconf.ru/
